Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
2015,Level 1,99999,All industries  ,Dollars (millions),H11,Depreciation,Financial performance,17278,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H12,Salaries and wages paid,Financial performance,88708,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H13,Redundancy and severance,Financial performance,259,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,1685,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,0,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,362152,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H20,Non-operating expenses,Financial performance,13761,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H21,Opening stocks,Financial performance,53297,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H22,Closing stocks,Financial performance,53946,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H23,Surplus before income tax,Financial performance,62536,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H24,Total assets,Financial position,1792488,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H25,Current assets,Financial position,524779,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H26,Fixed tangible assets,Financial position,410187,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H29,Other assets,Financial position,857523,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H30,Total equity and liabilities,Financial position,1792488,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,551443,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H32,Current liabilities,Financial position,700256,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars (millions),H33,Other liabilities,Financial position,540790,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars  ,H34,Total income per employee count(3),Financial ratios,352200,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Dollars  ,H35,Surplus per employee count,Financial ratios,37300,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Percentage,H36,Current ratio,Financial ratios,75,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Percentage,H37,Quick ratio,Financial ratios,67,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Percentage,H39,Return on equity,Financial ratios,11,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Percentage,H40,Return on total assets,Financial ratios,3,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 1,99999,All industries  ,Percentage,H41,Liabilities structure,Financial ratios,31,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,3508,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H03,Sales of other goods and services,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,3329,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,56,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,124,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,3059,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,191,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,32,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,159,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid,Financial performance,600,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,2069,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses,Financial performance,7,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks,Financial performance,285,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks,Financial performance,298,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax,Financial performance,462,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H24,Total assets,Financial position,10140,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H25,Current assets,Financial position,1916,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets,Financial position,6858,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,1366,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,10140,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,4347,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,2724,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,3069,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars  ,H34,Total income per employee count(3),Financial ratios,151000,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Dollars  ,H35,Surplus per employee count,Financial ratios,19900,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,70,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,59,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,11,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,5,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA111,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,43,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H01,Total income,Financial performance,3508,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H03,Sales of other goods and services,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,3329,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,56,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H07,Non-operating income,Financial performance,124,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H08,Total expenditure,Financial performance,3059,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H09,Interest and donations,Financial performance,191,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H10,Indirect taxes,Financial performance,32,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H11,Depreciation,Financial performance,159,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H12,Salaries and wages paid,Financial performance,600,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H13,Redundancy and severance,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H18,Other purchases and operating expenses,Financial performance,0,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,2069,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H20,Non-operating expenses,Financial performance,7,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H21,Opening stocks,Financial performance,285,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H22,Closing stocks,Financial performance,298,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H23,Surplus before income tax,Financial performance,462,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H24,Total assets,Financial position,10140,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H25,Current assets,Financial position,1916,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H26,Fixed tangible assets,Financial position,6858,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H29,Other assets,Financial position,1366,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H30,Total equity and liabilities,Financial position,10140,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,4347,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H32,Current liabilities,Financial position,2724,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars (millions),H33,Other liabilities,Financial position,3069,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars  ,H34,Total income per employee count(3),Financial ratios,151000,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Dollars  ,H35,Surplus per employee count,Financial ratios,19900,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H36,Current ratio,Financial ratios,70,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H37,Quick ratio,Financial ratios,59,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H39,Return on equity,Financial ratios,11,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H40,Return on total assets,Financial ratios,5,"ANZSIC06 groups A011, A012, and A013"
2015,Level 3,AA11,Horticulture and Fruit Growing,Percentage,H41,Liabilities structure,Financial ratios,43,"ANZSIC06 groups A011, A012, and A013"
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H01,Total income,Financial performance,10092,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H02,Sales of goods not further processed,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H03,Sales of other goods and services,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,9429,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,140,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H07,Non-operating income,Financial performance,524,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H08,Total expenditure,Financial performance,8730,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H09,Interest and donations,Financial performance,715,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H10,Indirect taxes,Financial performance,173,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H11,Depreciation,Financial performance,481,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H12,Salaries and wages paid,Financial performance,865,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H18,Other purchases and operating expenses,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,6434,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H20,Non-operating expenses,Financial performance,62,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H21,Opening stocks,Financial performance,5292,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H22,Closing stocks,Financial performance,5149,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H23,Surplus before income tax,Financial performance,1218,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H24,Total assets,Financial position,50290,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H25,Current assets,Financial position,9889,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H26,Fixed tangible assets,Financial position,31973,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H29,Other assets,Financial position,8428,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H30,Total equity and liabilities,Financial position,50290,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,28967,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H32,Current liabilities,Financial position,7916,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H33,Other liabilities,Financial position,13408,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars  ,H34,Total income per employee count(3),Financial ratios,476700,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars  ,H35,Surplus per employee count,Financial ratios,57600,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage,H36,Current ratio,Financial ratios,125,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage,H37,Quick ratio,Financial ratios,60,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage,H39,Return on equity,Financial ratios,4,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage,H40,Return on total assets,Financial ratios,2,ANZSIC06 groups A014 and A015
2015,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage,H41,Liabilities structure,Financial ratios,58,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H01,Total income,Financial performance,10092,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H02,Sales of goods not further processed,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H03,Sales of other goods and services,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,9429,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,140,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H07,Non-operating income,Financial performance,524,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H08,Total expenditure,Financial performance,8730,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H09,Interest and donations,Financial performance,715,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H10,Indirect taxes,Financial performance,173,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H11,Depreciation,Financial performance,481,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H12,Salaries and wages paid,Financial performance,865,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H18,Other purchases and operating expenses,Financial performance,0,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,6434,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H20,Non-operating expenses,Financial performance,62,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H21,Opening stocks,Financial performance,5292,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H22,Closing stocks,Financial performance,5149,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H23,Surplus before income tax,Financial performance,1218,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H24,Total assets,Financial position,50290,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H25,Current assets,Financial position,9889,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H26,Fixed tangible assets,Financial position,31973,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H29,Other assets,Financial position,8428,ANZSIC06 groups A014 and A015
2015,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions),H30,Total equity and liabilities,Financial position,50290,ANZSIC06 groups A014 and A015
